x	y	clickSelects
10	4.34294481903252	10
20	6.67616401390668	20
30	8.82042311385618	30
40	10.8434012272727	40
50	12.7811109317666	50
60	14.6543602005583	60
70	16.4764218886671	70
80	18.2563929134935	80
90	20.0008459454229	90
100	21.7147240951626	100
110	23.4018635202736	110
120	25.0653173827235	120
130	26.7075664945386	130
140	28.3306617572051	140
150	29.9363236787033	150
160	31.5260138519272	160
170	33.1009875258343	170
180	34.6623330731399	180
190	36.2110021579845	190
200	37.747833163551	200
210	39.2735696437028	210
220	40.7888750399132	220
230	42.2943445533424	230
240	43.7905148207889	240
250	45.2778718746764	250
260	46.7568577474048	260
270	48.2278759938821	270
280	49.691296342727	280
290	51.14745863967	290
300	52.5966762114438	300
310	54.0392387517233	310
320	55.4754148101921	320
330	56.9054539499678	330
340	58.3295886262524	340
350	59.7480358293475	350
360	61.1609985274601	360
370	62.5686669385677	370
380	63.9712196556574	380
390	65.3688246456512	390
400	66.7616401390668	400
410	68.1498154247947	410
420	69.5334915621757	420
430	70.9128020207473	430
440	72.2878732565157	440
450	73.6588252323505	450
460	75.0257718890397	460
470	76.3888215726562	470
480	77.7480774231281	480
490	79.1036377282722	490
500	80.4555962470012	500
